资深规划建筑设计师	十年以上工作经验
IEG部门秘书	三年以上工作经验
CDG部门秘书(金融)	两年以上工作经验
合约工程师(土建方向）	八年以上工作经验
Senior Executive Assistant	三年以上工作经验
微信事业群部门秘书	一年以上工作经验
IDC机电工程采购商务经理	三年以上工作经验
CSIG云与智慧产业事业群部门秘书	两年以上工作经验
半导体行业采购商务经理	八年以上工作经验
部门秘书（HR线）	三年以上工作经验
BJ-行政运营经理	五年以上工作经验
IDC机电工程采购商务经理	三年以上工作经验
IDC网络采购商务经理	五年以上工作经验
腾讯云自研服务生态采购商务专家	五年以上工作经验
Executive Administrative Officer	五年以上工作经验
微信事业群部门秘书	一年以上工作经验
行政运营经理	五年以上工作经验
通信资源采购商务管理	三年以上工作经验
腾讯云数据分析高级工程师(供应链方向)	三年以上工作经验
互娱服务采购经理	五年以上工作经验
行政经理	三年以上工作经验
客户接待经理	两年以上工作经验
Executive Assistant (LightSpeed Studio U.S.)	
Office and Facilities Manager	
Overseas Procurement Business Manager	
